207.66,810.32
275.56,777.09
357.90,748.20
461.92,726.53
583.27,696.19
697.40,665.85
834.65,600.84
914.10,518.50
1068.68,394.26
1156.81,316.24
1301.27,174.67
1393.73,22.98
1441.41,-95.49
1465.97,-280.40
1450.08,-426.32
1340.28,-515.89
1256.49,-596.79
1164.03,-595.34
1114.91,-537.56
1021.01,-488.44
828.87,-606.90
710.40,-683.47
600.61,-656.02
505.26,-640.13
382.46,-643.02
243.78,-644.46
50.19,-641.57
-107.28,-630.02
-254.63,-638.68
-373.10,-700.80
-495.90,-768.70
-594.13,-809.16
-692.37,-809.16
-790.61,-752.81
-901.85,-693.58
-985.64,-602.57
-1075.21,-489.88
-1167.66,-385.87
-1239.90,-263.07
-1281.80,-57.93
-1245.68,67.76
-1083.87,102.43
-988.53,177.55
-904.74,251.23
-838.28,252.68
-802.16,226.67
-698.15,220.89
-644.69,166.00
-584.02,145.77
-526.23,177.55
-508.90,264.23
-482.89,324.91
-441.00,400.03
-422.22,476.60
-438.11,554.61
-478.56,634.07
-521.90,704.86
-514.68,759.76
-390.43,810.32
-270.53,804.54
-121.72,820.43
38.63,859.44
