620.02,-448.73
597.73,-531.63
582.40,-593.64
571.25,-659.13
568.47,-686.30
511.34,-708.60
353.18,-708.60
71.71,-686.30
5.52,-639.62
-11.89,-591.55
-12.59,-565.77
-3.53,-528.85
4.13,-496.80
-2.84,-457.78
-50.21,-416.68
-93.41,-365.81
-102.46,-311.47
-95.50,-259.22
-122.67,-245.28
-186.77,-210.45
-142.88,-200.00
-120.58,-182.58
-124.76,-128.93
-135.91,-80.17
-133.12,-16.76
-96.20,-4.92
-80.87,-61.35
-50.91,-118.48
-4.93,-115.00
51.51,-128.24
94.01,-131.72
130.24,-151.23
164.38,-186.06
218.02,-241.11
266.10,-270.37
312.08,-288.48
387.32,-321.23
466.05,-356.06
515.52,-384.63
558.02,-412.49
599.82,-434.79
