2648.33,578.80
2696.83,555.07
2755.65,534.43
2829.94,518.95
2916.62,497.28
2998.14,475.61
3096.18,429.17
3152.93,370.35
3263.34,281.61
3326.29,225.89
3429.48,124.76
3495.52,16.41
3529.58,-68.21
3547.12,-200.29
3535.77,-304.51
3457.34,-368.49
3397.49,-426.28
3331.45,-425.25
3296.37,-383.97
3229.29,-348.88
3092.05,-433.50
3007.43,-488.19
2929.01,-468.59
2860.90,-457.23
2773.19,-459.30
2674.13,-460.33
2535.85,-458.27
2423.37,-450.01
2318.12,-456.20
2233.50,-500.57
2145.79,-549.07
2075.62,-577.97
2005.45,-577.97
1935.28,-537.72
1855.82,-495.42
1795.97,-430.41
1731.99,-349.92
1665.95,-275.62
1614.36,-187.91
1584.43,-41.38
1610.23,48.40
1725.80,73.17
1793.91,126.82
1853.76,179.45
1901.23,180.48
1927.03,161.91
2001.32,157.78
2039.50,118.57
2082.84,104.12
2124.12,126.82
2136.50,188.74
2155.08,232.08
2185.00,285.74
2198.42,340.43
2187.07,396.15
2158.17,452.91
2127.22,503.47
2132.37,542.68
2221.12,578.80
2306.77,574.67
2413.05,586.02
2527.59,613.88
