version, 0.000000
codebook_name, LT2v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0763, RS0793, RS0805, RS0820
name, id, barcode
Lmx1a, ENSMUST00000111377.8, 00000000010000100001100000
Clic6, ENSMUST00000162181.8, 00010000000100001000000010
Lhx3, ENSMUST00000054099.16, 00010010100001000000000000
Gypa, ENSMUST00000063359.8, 01000100000000000100010000
Hsd11b2, ENSMUST00000034363.7, 00000110000000001001000000
Slc25a37, ENSMUST00000184497.2, 00110000000000000000000011
Wnt5a, ENSMUST00000063465.12, 01000010000000000100001000
Fzd3, ENSMUST00000131309.3, 00000000001000100001000100
Dbx2, ENSMUST00000054244.7, 00001001011000000000000000
Eomes, ENSMUST00000111763.8, 00000001000100000000100010
Slc39a8, ENSMUST00000180196.8, 00000000000001010101000000
Tbx6, ENSMUST00000172352.8, 00000000001100000000000011
Nkx2-2, ENSMUST00000067075.7, 00000101101000000000000000
Tnnt2, ENSMUST00000188028.7, 10000010100000100000000000
Fgb, ENSMUST00000048246.5, 01010101000000000000000000
Efnb2, ENSMUST00000001319.15, 00000000100100000000011000
Oca2, ENSMUST00000032633.12, 10010000000001100000000000
Tbx1, ENSMUST00000232335.2, 01100000000000001001000000
Wfdc2, ENSMUST00000017867.10, 01000010010000100000000000
Tlx2, ENSMUST00000174674.3, 00000000000000000011001100
Fli1, ENSMUST00000016231.14, 01001000010010000000000000
Tbx18, ENSMUST00000034991.8, 01010000000000000000101000
Slc1a2, ENSMUST00000005220.11, 00000100000001000100000001
Sox9, ENSMUST00000000579.3, 00000000100100001001000000
Wt1, ENSMUST00000143043.8, 00001000000000010010000001
Fst, ENSMUST00000223640.3, 10100000000000000000010100
Trpm1, ENSMUST00000085222.12, 10010000000000001001000000
Adamts9, ENSMUST00000113438.8, 01000100000000000010001000
Runx1, ENSMUST00000113956.10, 00000010000001000001000010
Pmp22, ENSMUST00000018361.10, 00000000010100000000010100
Nkx6-1, ENSMUST00000044125.11, 00000000000101000010100000
Lum, ENSMUST00000038160.6, 00001000100000000000100010
Osr1, ENSMUST00000217975.2, 00010000010000000010000010
Neurod1, ENSMUST00000041099.5, 01010000000000001010000000
Bmp2, ENSMUST00000028836.7, 00000000011000000110000000
Hoxb2, ENSMUST00000182030.2, 00100001100001000000000000
Nepn, ENSMUST00000219730.2, 00100010000000000010001000
Foxa2, ENSMUST00000047315.10, 00100001000100100000000000
Angpt1, ENSMUST00000022921.7, 00000100010000000000010001
Pax3, ENSMUST00000087086.7, 00000110011000000000000000
Col4a1, ENSMUST00000033898.10, 00001100000000000011000000
Noto, ENSMUST00000089578.9, 00000000001000010010000100
Barx1, ENSMUST00000021813.5, 01010000000000000000010100
Sox2, ENSMUST00000099151.6, 01010000000001010000000000
Lmx1b, ENSMUST00000041730.12, 00001010000000001010000000
Ppp1r1c, ENSMUST00000090760.9, 00000001000001000001000001
Rgs5, ENSMUST00000027997.9, 01010000101000000000000000
Tfap2c, ENSMUST00000099058.10, 01001000000000000001001000
Hoxb1, ENSMUST00000019117.3, 00000000011000001001000000
Cdx2, ENSMUST00000031650.4, 00000000100101100000000000
Pecam1, ENSMUST00000106796.9, 00000000110000000000001100
Hs6st3, ENSMUST00000065904.5, 00000010000000100100000001
Pitx1, ENSMUST00000021968.7, 01000010000000001000000100
Cdh5, ENSMUST00000034339.10, 00010000001000000100000010
Tyrobp, ENSMUST00000207982.2, 11000000110000000000000000
