round,bit,color
1,53,650
1,52,560
2,2,650
2,3,560
3,5,650
3,6,560
4,8,650
4,9,560
5,11,650
5,12,560
6,14,650
6,15,560
7,17,650
7,18,560
8,20,650
8,21,560
9,1,650
9,4,560
10,7,650
10,10,560
11,13,650
11,16,560
12,19,650
12,25,560
13,26,650
13,27,560
14,29,650
14,30,560
15,32,650
15,33,560
16,35,650
16,36,560
17,38,650
17,39,560
18,41,650
18,42,560
19,44,650
19,45,560
20,47,650
20,48,560
21,50,650
21,51,560
22,28,650
22,31,560
23,34,650
23,37,560
24,40,650
24,43,560
25,46,650
25,49,560
