round,bit,color
1,1,650
1,2,560
2,3,560
2,4,650
3,5,650
3,6,560
4,7,650
4,8,560
5,9,560
5,10,650
6,11,650
6,12,560
7,13,650
7,14,560
8,15,560
8,16,650
9,17,650
9,18,560
10,19,650
10,20,560
11,21,560
11,22,650
12,23,650
12,24,560
13,25,650
13,26,560
