,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
intID69,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
intID70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
intID71,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
intID72,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
intID73,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
intID74,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
intID75,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
intID76,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
intID77,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
intID78,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
intID79,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
intID80,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
intID81,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
intID82,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
intID83,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
intID84,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
intID85,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
intID86,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
intID87,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
intID88,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
intID89,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
intID90,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
intID91,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
intID92,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
intID93,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
intID94,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
intID95,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
intID96,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
intID97,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
intID98,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
intID99,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
intID100,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
intID101,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
intID102,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
intID103,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
intID104,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
intID105,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
intID106,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
intID107,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
