,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
intID301,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
intID302,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
intID303,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
intID304,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
intID305,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
intID306,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
intID307,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
intID308,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
intID309,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
intID310,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
intID311,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
intID312,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
intID313,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
intID314,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
intID315,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
intID316,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
intID317,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
intID318,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
intID319,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
intID320,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
intID321,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
intID322,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
intID323,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
intID324,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
intID325,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
intID326,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
intID327,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
intID328,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
intID329,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
intID330,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
intID331,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
intID332,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
intID333,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
intID334,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
intID335,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
intID336,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
intID337,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
intID338,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
intID339,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
intID340,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
intID341,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
intID342,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
intID343,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
intID344,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
intID345,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
intID346,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
intID347,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
intID348,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
intID349,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
intID350,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
intID351,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
intID352,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
intID353,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
intID354,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
intID355,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
intID356,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
intID357,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
intID358,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
intID359,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
intID360,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
intID361,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
intID362,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
intID363,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
intID364,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
intID365,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
intID366,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
intID367,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
intID368,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
intID369,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
intID370,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
intID371,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
intID372,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
intID373,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
intID374,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
intID375,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
intID376,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
intID377,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
intID378,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
intID379,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
intID380,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
intID381,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
intID382,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
intID383,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
intID384,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
intID385,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
intID386,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
intID387,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
intID388,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
intID389,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
intID390,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
intID391,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
intID392,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
intID393,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
intID394,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
intID395,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
intID396,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
intID397,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
intID398,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
intID399,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
intID400,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
intID401,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
intID402,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
intID403,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
intID404,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
intID405,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
intID406,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
intID407,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
intID408,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
intID409,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
intID410,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
intID411,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
intID412,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
intID413,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
intID414,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
intID415,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
intID416,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
intID417,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
intID418,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
intID419,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
intID420,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
intID421,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
intID422,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
intID423,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
intID424,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
intID425,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
intID426,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
intID427,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
intID428,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
intID429,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
intID430,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
intID431,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
intID432,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
intID433,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
intID434,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
intID435,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
intID436,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
intID437,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
intID438,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
intID439,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
intID440,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
intID441,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
intID442,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
intID443,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
intID444,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
intID445,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
intID446,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
intID447,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
intID448,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
intID449,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
intID450,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
intID451,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
intID452,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
intID453,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
intID454,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
intID455,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
intID456,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
intID457,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
intID458,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
intID459,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
intID460,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
intID461,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
intID462,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
intID463,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
intID464,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
intID465,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
intID466,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
intID467,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
intID468,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
intID469,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
intID470,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
intID471,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
intID472,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
intID473,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
intID474,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
intID475,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
intID476,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
intID477,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
intID478,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
intID479,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
intID480,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
intID481,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
intID482,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
intID483,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
intID484,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
intID485,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
intID486,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
intID487,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
intID488,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
intID489,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
intID490,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
intID491,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
intID492,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
intID493,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
intID494,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
intID495,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
intID496,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
intID497,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
intID498,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
intID499,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
intID500,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
intID501,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
intID502,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
intID503,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
intID504,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
intID505,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
intID506,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
intID507,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
intID508,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
intID509,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
intID510,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
intID511,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
intID512,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
intID513,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
intID514,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
intID515,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
intID516,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
intID517,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
intID518,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
intID519,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
intID520,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
intID521,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
intID522,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
intID523,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
intID524,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
intID525,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
intID526,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
intID527,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
intID528,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
intID529,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
intID530,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
intID531,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
intID532,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
intID533,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
intID534,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
intID535,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
intID536,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
intID537,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
intID538,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
intID539,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
intID540,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
intID541,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
intID542,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
intID543,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
intID544,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
intID545,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
intID546,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
intID547,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
intID548,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
intID549,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
intID550,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
intID551,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
intID552,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
intID553,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
intID554,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
intID555,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
intID556,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
intID557,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
intID558,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
intID559,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
intID560,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
intID561,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
intID562,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
intID563,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
intID564,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
intID565,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
intID566,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
intID567,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
intID568,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0
intID569,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
intID570,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
intID571,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
intID572,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
intID573,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
intID574,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
intID575,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
intID576,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
intID577,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
intID578,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
intID579,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
intID580,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
intID581,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
intID582,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
intID583,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
intID584,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
intID585,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
intID586,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
intID587,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
intID588,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
intID589,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
intID590,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
intID591,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
intID592,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
intID593,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
intID594,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
intID595,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
intID596,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
intID597,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
intID598,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
intID599,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
intID600,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
intID601,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
intID602,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
